A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.47920717464427,9.255105959713898,Lambrate,45.49010641378294,9.122538055658453,Lampugnano,February,Saturday,6,27619,14836,1264,5254
45.44499310149127,9.183651138997925,Morivione,45.48585329298924,9.211292991538672,Centrale,December,Saturday,22,7263,8752,1057,2615
45.48502347570125,9.235246336306208,Città Studi,45.44280768077435,9.21470997334141,Lodi - Corvetto,November,Thursday,7,12147,8526,929,1842
45.43713145808179,9.23784730835227,Rogoredo,45.442030487222496,9.190020798011846,Ex Om - Morivione,November,Sunday,13,7964,7098,923,2842
45.5105873513444,9.210027029071687,Segnano,45.44869518756764,9.135714141257713,Giambellino,June,Thursday,2,12081,12935,1439,13252
45.44367329627629,9.132962495162209,Giambellino,45.448105160624195,9.240569449881182,Taliedo,January,Friday,11,30019,13787,1862,5060
45.47297594970114,9.1656648112321,Pagano,45.47898536633599,9.159074037128802,Tre Torri,November,Tuesday,23,1350,1209,343,1250
45.43139022569155,9.255999716210017,Triulzo Superiore,45.47309068581429,9.113701151559505,Quarto Cagnino,May,Thursday,8,37810,20000,2540,3473
45.484045517873206,9.220399864981195,Città Studi,45.50516830670132,9.223758445623044,Gorla,August,Saturday,18,2711,3077,554,1189
45.456302312955266,9.180568841838287,Porta Ticinese,45.506048078002955,9.158264720570815,Bovisa,June,Wednesday,9,9629,9352,1688,3685
45.51365252844787,9.255336515667828,Adriano,45.45094228067596,9.212362303733475,Porta Romana,March,Friday,9,15993,13874,1164,3635
45.42235984502345,9.183586905148722,Chiesa Rossa,45.493841225738244,9.243522217052616,Parco Lambro,January,Sunday,2,17827,22133,1549,6928
45.42763459517998,9.129197691405922,Ronchetto sul Naviglio,45.43761818611229,9.214143603404613,Vaiano Valle,January,Tuesday,2,9859,10792,1182,12219
45.48121169040759,9.193350242496226,GARIBALDI REPUBBLICA,45.46077814653795,9.136529708591643,Bande Nere,January,Monday,21,7008,6807,1041,2117
45.491942402110176,9.154790149519856,Cagnola,45.43057358827488,9.170225451550023,Conca Fallata,April,Thursday,18,8903,12424,1628,3711
45.463506602670634,9.146983977313681,Bande Nere,45.44425538818109,9.135599104541775,Giambellino,November,Sunday,4,3285,4461,469,3456
45.50402482575454,9.21257189799979,Greco,45.4513393007006,9.134583399268507,Bande Nere,November,Sunday,9,11565,12213,1352,4119
45.50881804926377,9.19671478266074,Prato Centenaro,45.47186136146462,9.11406815914231,Quarto Cagnino,January,Friday,15,16024,11336,1342,2809
45.457882296625314,9.23946267842795,La Trecca,45.436227852637565,9.150405950763112,Barona,June,Thursday,1,9131,12721,1073,5190
45.43540879835345,9.18670202225999,Stadera,45.4665705291395,9.158889463277244,Pagano,February,Wednesday,3,5397,5940,725,4235
